"","numero","municipalite","montant","habitants","montantparhabitant","Date"
"190","1948","Meierijstad","60","80815","74.2","18 maart 2020"
"191","119","Meppel","0","33564","0","18 maart 2020"
"192","687","Middelburg","2","48544","4.1","18 maart 2020"
"193","1842","Midden-Delfland","0","19391","0","18 maart 2020"
"194","1731","Midden-Drenthe","0","33178","0","18 maart 2020"
"195","1952","Midden-Groningen","2","60899","3.3","18 maart 2020"
"196","815","Mill en Sint Hubert","1","10891","9.2","18 maart 2020"
"197","1709","Moerdijk","1","36961","2.7","18 maart 2020"
"198","1978","Molenlanden","7","43858","16","18 maart 2020"
"199","1955","Montferland","1","36026","2.8","18 maart 2020"
"200","335","Montfoort","0","13996","0","18 maart 2020"
"201","944","Mook en Middelaar","0","7806","0","18 maart 2020"
"202","1740","Neder-Betuwe","4","24034","16.6","18 maart 2020"
"203","946","Nederweert","7","17001","41.2","18 maart 2020"
"204","356","Nieuwegein","4","63036","6.3","18 maart 2020"
"205","569","Nieuwkoop","1","28628","3.5","18 maart 2020"
"206","267","Nijkerk","2","42943","4.7","18 maart 2020"
"207","268","Nijmegen","41","176731","23.2","18 maart 2020"
"208","1930","Nissewaard","4","84797","4.7","18 maart 2020"
"209","1970","Noardeast-Fryslân","0","45181","0","18 maart 2020"
"210","1695","Noord-Beveland","0","7308","0","18 maart 2020"
"211","1699","Noordenveld","1","31290","3.2","18 maart 2020"
"212","171","Noordoostpolder","2","46849","4.3","18 maart 2020"
"213","575","Noordwijk","2","42859","4.7","18 maart 2020"
"214","820","Nuenen, Gerwen en Nederwetten","1","23186","4.3","18 maart 2020"
"215","302","Nunspeet","3","27481","10.9","18 maart 2020"
"216","579","Oegstgeest","4","24426","16.4","18 maart 2020"
"217","823","Oirschot","1","18623","5.4","18 maart 2020"
"218","824","Oisterwijk","10","26140","38.3","18 maart 2020"
"219","1895","Oldambt","0","38129","0","18 maart 2020"
"220","269","Oldebroek","5","23598","21.2","18 maart 2020"
"221","173","Oldenzaal","2","31840","6.3","18 maart 2020"
"222","1773","Olst-Wijhe","0","18071","0","18 maart 2020"
"223","175","Ommen","2","17813","11.2","18 maart 2020"
"224","1586","Oost Gelre","0","29704","0","18 maart 2020"
"225","826","Oosterhout","9","55616","16.2","18 maart 2020"
"226","85","Ooststellingwerf","0","25497","0","18 maart 2020"
"227","431","Oostzaan","2","9757","20.5","18 maart 2020"
"228","432","Opmeer","0","11779","0","18 maart 2020"
"229","86","Opsterland","2","29723","6.7","18 maart 2020"
"230","828","Oss","20","91451","21.9","18 maart 2020"
"231","1509","Oude IJsselstreek","2","39473","5.1","18 maart 2020"
"232","437","Ouder-Amstel","3","13916","21.6","18 maart 2020"
"233","589","Oudewater","1","10201","9.8","18 maart 2020"
"234","1734","Overbetuwe","9","47543","18.9","18 maart 2020"
"235","590","Papendrecht","0","32290","0","18 maart 2020"
"236","1894","Peel en Maas","36","43311","83.1","18 maart 2020"
"237","765","Pekela","1","12214","8.2","18 maart 2020"
"238","1926","Pijnacker-Nootdorp","11","54331","20.2","18 maart 2020"
"239","439","Purmerend","4","80117","5","18 maart 2020"
"240","273","Putten","2","24198","8.3","18 maart 2020"
"241","177","Raalte","3","37511","8","18 maart 2020"
"242","703","Reimerswaal","3","22678","13.2","18 maart 2020"
"243","274","Renkum","8","31302","25.6","18 maart 2020"
"244","339","Renswoude","0","5259","0","18 maart 2020"
"245","1667","Reusel-De Mierden","0","13060","0","18 maart 2020"
"246","275","Rheden","3","43640","6.9","18 maart 2020"
"247","340","Rhenen","0","20004","0","18 maart 2020"
"248","597","Ridderkerk","1","46241","2.2","18 maart 2020"
"249","1742","Rijssen-Holten","0","38300","0","18 maart 2020"
"250","603","Rijswijk","3","53467","5.6","18 maart 2020"
"251","1669","Roerdalen","1","20615","4.9","18 maart 2020"
"252","957","Roermond","6","58209","10.3","18 maart 2020"
"253","1674","Roosendaal","6","77032","7.8","18 maart 2020"
"254","599","Rotterdam","58","644618","9","18 maart 2020"
"255","277","Rozendaal","2","1654","120.9","18 maart 2020"
"256","840","Rucphen","1","22572","4.4","18 maart 2020"
"257","441","Schagen","5","46553","10.7","18 maart 2020"
"258","279","Scherpenzeel","0","9873","0","18 maart 2020"
"259","606","Schiedam","1","77999","1.3","18 maart 2020"
"260","88","Schiermonnikoog","0","936","0","18 maart 2020"
"261","1676","Schouwen-Duiveland","2","33779","5.9","18 maart 2020"
"262","965","Simpelveld","5","10516","47.5","18 maart 2020"
"263","1702","Sint Anthonis","5","11606","43.1","18 maart 2020"
"264","845","Sint-Michielsgestel","10","28991","34.5","18 maart 2020"
"265","1883","Sittard-Geleen","51","92661","55","18 maart 2020"
"266","610","Sliedrecht","1","25026","4","18 maart 2020"
"267","1714","Sluis","2","23386","8.6","18 maart 2020"
"268","90","Smallingerland","3","55938","5.4","18 maart 2020"
"269","342","Soest","12","46194","26","18 maart 2020"
"270","847","Someren","3","19322","15.5","18 maart 2020"
"271","848","Son en Breugel","4","16904","23.7","18 maart 2020"
"272","37","Stadskanaal","0","31789","0","18 maart 2020"
"273","180","Staphorst","1","17003","5.9","18 maart 2020"
"274","532","Stede Broec","1","21706","4.6","18 maart 2020"
"275","851","Steenbergen","2","25054","8","18 maart 2020"
"276","1708","Steenwijkerland","1","43940","2.3","18 maart 2020"
"277","971","Stein","4","24961","16","18 maart 2020"
"278","1904","Stichtse Vecht","9","64336","14","18 maart 2020"
"279","1900","Súdwest-Fryslân","2","89710","2.2","18 maart 2020"
"280","715","Terneuzen","3","54589","5.5","18 maart 2020"
"281","93","Terschelling","0","4890","0","18 maart 2020"
"282","448","Texel","0","13547","0","18 maart 2020"
"283","1525","Teylingen","2","37061","5.4","18 maart 2020"
"284","716","Tholen","2","25780","7.8","18 maart 2020"
"285","281","Tiel","4","41978","9.5","18 maart 2020"
"286","855","Tilburg","95","217259","43.7","18 maart 2020"
"287","183","Tubbergen","1","21276","4.7","18 maart 2020"
"288","1700","Twenterand","0","33792","0","18 maart 2020"
"289","1730","Tynaarlo","3","33698","8.9","18 maart 2020"
"290","737","Tytsjerksteradiel","1","31780","3.1","18 maart 2020"
"291","856","Uden","53","41782","126.8","18 maart 2020"
"292","450","Uitgeest","0","13528","0","18 maart 2020"
"293","451","Uithoorn","1","29424","3.4","18 maart 2020"
"294","184","Urk","1","20776","4.8","18 maart 2020"
"295","344","Utrecht","69","352866","19.6","18 maart 2020"
"296","1581","Utrechtse Heuvelrug","6","49515","12.1","18 maart 2020"
"297","981","Vaals","0","10092","0","18 maart 2020"
"298","994","Valkenburg aan de Geul","2","16470","12.1","18 maart 2020"
"299","858","Valkenswaard","1","30910","3.2","18 maart 2020"
"300","47","Veendam","0","27491","0","18 maart 2020"
"301","345","Veenendaal","1","65589","1.5","18 maart 2020"
"302","717","Veere","1","21835","4.6","18 maart 2020"
"303","861","Veldhoven","1","45337","2.2","18 maart 2020"
"304","453","Velsen","4","68348","5.9","18 maart 2020"
"305","983","Venlo","12","101603","11.8","18 maart 2020"
"306","984","Venray","1","43326","2.3","18 maart 2020"
"307","1961","Vijfheerenlanden","4","55712","7.2","18 maart 2020"
"308","622","Vlaardingen","2","72404","2.8","18 maart 2020"
"309","96","Vlieland","0","1138","0","18 maart 2020"
"310","718","Vlissingen","4","44371","9","18 maart 2020"
"311","986","Voerendaal","3","12452","24.1","18 maart 2020"
"312","626","Voorschoten","1","25479","3.9","18 maart 2020"
"313","285","Voorst","1","24417","4.1","18 maart 2020"
"314","865","Vught","7","26396","26.5","18 maart 2020"
"315","1949","Waadhoeke","0","46039","0","18 maart 2020"
"316","866","Waalre","2","17247","11.6","18 maart 2020"
"317","867","Waalwijk","12","48240","24.9","18 maart 2020"
"318","627","Waddinxveen","1","28316","3.5","18 maart 2020"
"319","289","Wageningen","1","38774","2.6","18 maart 2020"
"320","629","Wassenaar","3","26211","11.4","18 maart 2020"
"321","852","Waterland","4","17315","23.1","18 maart 2020"
"322","988","Weert","0","49842","0","18 maart 2020"
"323","457","Weesp","0","19334","0","18 maart 2020"
"324","1960","West Betuwe","6","50697","11.8","18 maart 2020"
"325","668","West Maas en Waal","3","19076","15.7","18 maart 2020"
"326","1969","Westerkwartier","1","63031","1.6","18 maart 2020"
"327","1701","Westerveld","0","19348","0","18 maart 2020"
"328","293","Westervoort","0","14944","0","18 maart 2020"
"329","1950","Westerwolde","0","25199","0","18 maart 2020"
"330","1783","Westland","6","108603","5.5","18 maart 2020"
"331","98","Weststellingwerf","0","25840","0","18 maart 2020"
"332","614","Westvoorne","3","14626","20.5","18 maart 2020"
"333","189","Wierden","0","24351","0","18 maart 2020"
"334","296","Wijchen","8","40951","19.5","18 maart 2020"
"335","1696","Wijdemeren","1","24013","4.2","18 maart 2020"
"336","352","Wijk bij Duurstede","4","23762","16.8","18 maart 2020"
"337","294","Winterswijk","0","28903","0","18 maart 2020"
"338","873","Woensdrecht","0","21866","0","18 maart 2020"
"339","632","Woerden","4","52197","7.7","18 maart 2020"
"340","880","Wormerland","0","16329","0","18 maart 2020"
"341","351","Woudenberg","2","13166","15.2","18 maart 2020"
"342","479","Zaanstad","2","155885","1.3","18 maart 2020"
"343","297","Zaltbommel","3","28451","10.5","18 maart 2020"
"344","473","Zandvoort","1","17011","5.9","18 maart 2020"
"345","50","Zeewolde","3","22309","13.4","18 maart 2020"
"346","355","Zeist","12","63934","18.8","18 maart 2020"
"347","299","Zevenaar","2","43488","4.6","18 maart 2020"
"348","637","Zoetermeer","1","124944","0.8","18 maart 2020"
"349","638","Zoeterwoude","0","8450","0","18 maart 2020"
"350","1892","Zuidplas","0","42762","0","18 maart 2020"
"351","879","Zundert","6","21612","27.8","18 maart 2020"
"352","301","Zutphen","1","47609","2.1","18 maart 2020"
"353","1896","Zwartewaterland","4","22503","17.8","18 maart 2020"
"354","642","Zwijndrecht","5","44639","11.2","18 maart 2020"
"355","193","Zwolle","12","127497","9.4","18 maart 2020"
