"","montant","municipalite","numero","habitants","montantparhabitant","date"
"174","995","Lelystad","13","77893","16.7","19 maart 2020"
"175","1640","Leudal","13","35681","36.4","19 maart 2020"
"176","327","Leusden","4","30030","13.3","19 maart 2020"
"177","1705","Lingewaard","5","46475","10.8","19 maart 2020"
"178","553","Lisse","0","22800","0","19 maart 2020"
"179","262","Lochem","1","33590","3","19 maart 2020"
"180","809","Loon op Zand","11","23327","47.2","19 maart 2020"
"181","331","Lopik","3","14473","20.7","19 maart 2020"
"182","24","Loppersum","0","9614","0","19 maart 2020"
"183","168","Losser","0","22622","0","19 maart 2020"
"184","263","Maasdriel","1","24693","4","19 maart 2020"
"185","1641","Maasgouw","5","23716","21.1","19 maart 2020"
"186","556","Maassluis","2","32768","6.1","19 maart 2020"
"187","935","Maastricht","42","121565","34.5","19 maart 2020"
"188","420","Medemblik","0","44809","0","19 maart 2020"
"189","938","Meerssen","2","18923","10.6","19 maart 2020"
"190","1948","Meierijstad","72","80815","89.1","19 maart 2020"
"191","119","Meppel","0","33564","0","19 maart 2020"
"192","687","Middelburg","3","48544","6.2","19 maart 2020"
"193","1842","Midden-Delfland","1","19391","5.2","19 maart 2020"
"194","1731","Midden-Drenthe","1","33178","3","19 maart 2020"
"195","1952","Midden-Groningen","2","60899","3.3","19 maart 2020"
"196","815","Mill en Sint Hubert","2","10891","18.4","19 maart 2020"
"197","1709","Moerdijk","2","36961","5.4","19 maart 2020"
"198","1978","Molenlanden","9","43858","20.5","19 maart 2020"
"199","1955","Montferland","1","36026","2.8","19 maart 2020"
"200","335","Montfoort","0","13996","0","19 maart 2020"
"201","944","Mook en Middelaar","1","7806","12.8","19 maart 2020"
"202","1740","Neder-Betuwe","4","24034","16.6","19 maart 2020"
"203","946","Nederweert","7","17001","41.2","19 maart 2020"
"204","356","Nieuwegein","6","63036","9.5","19 maart 2020"
"205","569","Nieuwkoop","1","28628","3.5","19 maart 2020"
"206","267","Nijkerk","2","42943","4.7","19 maart 2020"
"207","268","Nijmegen","48","176731","27.2","19 maart 2020"
"208","1930","Nissewaard","7","84797","8.3","19 maart 2020"
"209","1970","Noardeast-Fryslân","1","45181","2.2","19 maart 2020"
"210","1695","Noord-Beveland","0","7308","0","19 maart 2020"
"211","1699","Noordenveld","1","31290","3.2","19 maart 2020"
"212","171","Noordoostpolder","2","46849","4.3","19 maart 2020"
"213","575","Noordwijk","3","42859","7","19 maart 2020"
"214","820","Nuenen, Gerwen en Nederwetten","1","23186","4.3","19 maart 2020"
"215","302","Nunspeet","3","27481","10.9","19 maart 2020"
"216","579","Oegstgeest","5","24426","20.5","19 maart 2020"
"217","823","Oirschot","1","18623","5.4","19 maart 2020"
"218","824","Oisterwijk","10","26140","38.3","19 maart 2020"
"219","1895","Oldambt","0","38129","0","19 maart 2020"
"220","269","Oldebroek","5","23598","21.2","19 maart 2020"
"221","173","Oldenzaal","3","31840","9.4","19 maart 2020"
"222","1773","Olst-Wijhe","0","18071","0","19 maart 2020"
"223","175","Ommen","2","17813","11.2","19 maart 2020"
"224","1586","Oost Gelre","0","29704","0","19 maart 2020"
"225","826","Oosterhout","9","55616","16.2","19 maart 2020"
"226","85","Ooststellingwerf","0","25497","0","19 maart 2020"
"227","431","Oostzaan","2","9757","20.5","19 maart 2020"
"228","432","Opmeer","0","11779","0","19 maart 2020"
"229","86","Opsterland","2","29723","6.7","19 maart 2020"
"230","828","Oss","26","91451","28.4","19 maart 2020"
"231","1509","Oude IJsselstreek","2","39473","5.1","19 maart 2020"
"232","437","Ouder-Amstel","3","13916","21.6","19 maart 2020"
"233","589","Oudewater","2","10201","19.6","19 maart 2020"
"234","1734","Overbetuwe","11","47543","23.1","19 maart 2020"
"235","590","Papendrecht","1","32290","3.1","19 maart 2020"
"236","1894","Peel en Maas","41","43311","94.7","19 maart 2020"
"237","765","Pekela","1","12214","8.2","19 maart 2020"
"238","1926","Pijnacker-Nootdorp","11","54331","20.2","19 maart 2020"
"239","439","Purmerend","7","80117","8.7","19 maart 2020"
"240","273","Putten","2","24198","8.3","19 maart 2020"
"241","177","Raalte","3","37511","8","19 maart 2020"
"242","703","Reimerswaal","4","22678","17.6","19 maart 2020"
"243","274","Renkum","8","31302","25.6","19 maart 2020"
"244","339","Renswoude","0","5259","0","19 maart 2020"
"245","1667","Reusel-De Mierden","0","13060","0","19 maart 2020"
"246","275","Rheden","4","43640","9.2","19 maart 2020"
"247","340","Rhenen","0","20004","0","19 maart 2020"
"248","597","Ridderkerk","1","46241","2.2","19 maart 2020"
"249","1742","Rijssen-Holten","0","38300","0","19 maart 2020"
"250","603","Rijswijk","3","53467","5.6","19 maart 2020"
"251","1669","Roerdalen","1","20615","4.9","19 maart 2020"
"252","957","Roermond","13","58209","22.3","19 maart 2020"
"253","1674","Roosendaal","7","77032","9.1","19 maart 2020"
"254","599","Rotterdam","81","644618","12.6","19 maart 2020"
"255","277","Rozendaal","2","1654","120.9","19 maart 2020"
"256","840","Rucphen","2","22572","8.9","19 maart 2020"
"257","441","Schagen","6","46553","12.9","19 maart 2020"
"258","279","Scherpenzeel","0","9873","0","19 maart 2020"
"259","606","Schiedam","2","77999","2.6","19 maart 2020"
"260","88","Schiermonnikoog","0","936","0","19 maart 2020"
"261","1676","Schouwen-Duiveland","2","33779","5.9","19 maart 2020"
"262","965","Simpelveld","5","10516","47.5","19 maart 2020"
"263","1702","Sint Anthonis","8","11606","68.9","19 maart 2020"
"264","845","Sint-Michielsgestel","10","28991","34.5","19 maart 2020"
"265","1883","Sittard-Geleen","51","92661","55","19 maart 2020"
"266","610","Sliedrecht","1","25026","4","19 maart 2020"
"267","1714","Sluis","2","23386","8.6","19 maart 2020"
"268","90","Smallingerland","3","55938","5.4","19 maart 2020"
